Наименование,"Тип, марка, чертеж",Вес,Цена начальная,Цена без ндс,Цена с ндс,Наша наценка
Люк тяжелый  ,,"108,00  кг","6 908,00 ₽","8 289,60 ₽","9 947,52 ₽",
Корпус люка тяж,0009-6708/000000-01/СХР,"56,00  кг","3 582,00 ₽","4 298,40 ₽","5 158,08 ₽",
Крышка люка тяж.,0009-6777/000000/СХР,"52,00  кг","3 326,00 ₽","3 991,20 ₽","4 789,44 ₽",
Люк телефонный без стальной крышки ,,"73,80  кг","4 721,00 ₽","5 665,20 ₽","6 798,24 ₽",
Корпус люка телефонного без стальной крышки ,0009-6757/000001/СХР,"36,30  кг","2 323,00 ₽","2 787,60 ₽","3 345,12 ₽",
Крышка люка телефонного без стальной крышки ,0009-6754/000001-А/СХР,"37,50  кг","2 398,00 ₽","2 877,60 ₽","3 453,12 ₽",
Люк телефонный со стальной крышки ,,"78,80  кг","5 464,00 ₽","6 556,80 ₽","7 868,16 ₽",
Корпус люка телефонного со стальной крышки ,0009-6757/000001/СХР,"36,30  кг","2 323,00 ₽","2 787,60 ₽","3 345,12 ₽",
Крышка люка телефонного со стальной крышки ,0009-6754/000001-А/СХР,"37,50  кг","2 398,00 ₽","2 877,60 ₽","3 453,12 ₽",
Стальная крышка S=2MM люка,S1.5-2/СХР,"4,70  кг","743,00 ₽","891,60 ₽","1 069,92 ₽",
Люк плавающий обл.,,"216,00  кг","14 906,00 ₽","17 887,20 ₽","21 464,64 ₽",
Корпус люка плав. обл.,0200-0699/000000/СХР,"80,00  кг","4 806,00 ₽","5 767,20 ₽","6 920,64 ₽",
Мехобработка,0200-0699/000000/СХР,"80,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Крышка люка плав. обл.,0009-6777/000000/СХР,"52,00  кг","3 326,00 ₽","3 991,20 ₽","4 789,44 ₽",
Мехобработка,0009-6777/000000/СХР,"52,00  кг","847,00 ₽","1 016,40 ₽","1 219,68 ₽",
Кольцо люка плав. обл.,0200-0566/000000/СХР,"84,00  кг","4 948,00 ₽","5 937,60 ₽","7 125,12 ₽",
Люк плавающий обл.,,"209,00  кг","16 400,00 ₽","19 680,00 ₽","23 616,00 ₽",
Корпус люка плав. обл.,0200-0699//000000/СХР,"80,00  кг","4 806,00 ₽","5 767,20 ₽","6 920,64 ₽",
Мехобработка,0200-0699//000000/СХР,"80,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Решетка люка плав. обл.,0009-6756/000000/СХР,"45,20  кг","4 850,00 ₽","5 820,00 ₽","6 984,00 ₽",
Мехобработка,0009-6756/000000/СХР,"45,20  кг","817,00 ₽","980,40 ₽","1 176,48 ₽",
Кольцо люка плав. обл.,0200-0566/000000/СХР,"84,00  кг","4 948,00 ₽","5 937,60 ₽","7 125,12 ₽",
Ливневая решетка,,"80,00  кг","8 582,00 ₽","10 298,40 ₽","12 358,08 ₽",
Корпус люка,0009-6727/СХР,"46,00  кг","4 935,00 ₽","5 922,00 ₽","7 106,40 ₽",
Решетка люка,0009-6726/СХР,"34,00  кг","3 647,00 ₽","4 376,40 ₽","5 251,68 ₽",
Ливневая круглая магистральная,,"101,20  кг","8 432,00 ₽","10 118,40 ₽","12 142,08 ₽",
Корпус люка,0009-6708/000000-01/СХР,"56,00  кг","3 582,00 ₽","4 298,40 ₽","5 158,08 ₽",
Решетка люка,0009-6756/000000/СХР,"45,20  кг","4 850,00 ₽","5 820,00 ₽","6 984,00 ₽",
Дождеприемник,,"104,00  кг","11 156,00 ₽","13 387,20 ₽","16 064,64 ₽",
Корпус люка,0200-0558/000000/СХР,"64,00  кг","6 866,00 ₽","8 239,20 ₽","9 887,04 ₽",
Решетка люка,0200-0559/000000/СХР,"40,00  кг","4 290,00 ₽","5 148,00 ₽","6 177,60 ₽",
Люк телефонный тяжелый,,"141,00  кг","9 075,00 ₽","10 890,00 ₽","13 068,00 ₽",
Корпус люка телефонный тяжелый,0200-0624/00.00.01/СХР,"70,00  кг","4 510,00 ₽","5 412,00 ₽","6 494,40 ₽",
Крышка люка телефонный тяжелый,0200-0624/00.00.02/СХР,"71,00  кг","4 565,00 ₽","5 478,00 ₽","6 573,60 ₽",
Люк для колодцев дачный,,"44,60  кг","3 015,00 ₽","3 618,00 ₽","4 341,60 ₽",
Корпус люка для колодцев,0152.655.00/359/СХР,"21,60  кг","1 370,00 ₽","1 644,00 ₽","1 972,80 ₽",
Крышка люка для колодцев,0153.590.00/СХР,"23,00  кг","1 645,00 ₽","1 974,00 ₽","2 368,80 ₽",
Люк средний,,"72,00  кг","4 769,00 ₽","5 722,80 ₽","6 867,36 ₽",
Корпус люка среднего,0200-0562/000000/СХР,"35,00  кг","2 165,00 ₽","2 598,00 ₽","3 117,60 ₽",
Крышка люка среднего,0200-0561/000000/СХР,"37,00  кг","2 604,00 ₽","3 124,80 ₽","3 749,76 ₽",
Люк парковый,,"97,00  кг","6 879,00 ₽","8 254,80 ₽","9 905,76 ₽",
Корпус паркового люка,0200-0670/000000/СХР,"60,00  кг","4 275,00 ₽","5 130,00 ₽","6 156,00 ₽",
Крышка люка среднего,0200-0561/000000/СХР,"37,00  кг","2 604,00 ₽","3 124,80 ₽","3 749,76 ₽",
Люк легкий,,"53,90  кг","3 921,00 ₽","4 705,20 ₽","5 646,24 ₽",
Корпус люка легкого,0200-0707/000000/СХР,"24,30  кг","1 770,00 ₽","2 124,00 ₽","2 548,80 ₽",
Крышка ляка легкого,0200-0706/000000/СХР,"29,60  кг","2 151,00 ₽","2 581,20 ₽","3 097,44 ₽",
Люк тяжелый облег с замком,,"96,00  кг","9 917,00 ₽","11 900,40 ₽","14 280,48 ₽",
Корпус люка тяжелого облег,0200-0636/000000/СХР,"42,00  кг","2 913,00 ₽","3 495,60 ₽","4 194,72 ₽",
Крышка люка тяжел облег,0200-0637/000000/СХР,"54,00  кг","5 662,00 ₽","6 794,40 ₽","8 153,28 ₽",
Мехобработка,0200-0637/000000/СХР,"54,00  кг","847,00 ₽","1 016,40 ₽","1 219,68 ₽",
Замковое устройство корпуса,Б/Ч/СХР,"0,08  кг","495,00 ₽","594,00 ₽","712,80 ₽",
Люк тяжелый Н-80,,"97,00  кг","6 203,00 ₽","7 443,60 ₽","8 932,32 ₽",
